2019-10-03 18:52:59.802670+0900 Browser[475:4544] 0.002168 DisplayCell start
2019-10-03 18:52:59.802812+0900 Browser[475:4544] 0.002308 DisplayCell end
2019-10-03 18:52:59.802840+0900 Browser[475:4544] 0.002339 DisplayCell start
2019-10-03 18:52:59.802979+0900 Browser[475:4544] 0.002475 DisplayCell end
2019-10-03 18:52:59.803006+0900 Browser[475:4544] 0.002505 DisplayCell start
2019-10-03 18:52:59.803147+0900 Browser[475:4544] 0.002643 DisplayCell end
2019-10-03 18:52:59.803175+0900 Browser[475:4544] 0.002673 DisplayCell start
2019-10-03 18:52:59.803343+0900 Browser[475:4544] 0.002835 DisplayCell end
2019-10-03 18:52:59.803387+0900 Browser[475:4544] 0.002882 DisplayCell start
2019-10-03 18:52:59.803573+0900 Browser[475:4544] 0.003066 DisplayCell end

2019-10-03 18:53:01.216611+0900 Browser[475:4544] 0.001423 /Users/itohisao/Desktop/DocumentsOfCaledar numberOfRows=4 
2019-10-03 18:53:01.218397+0900 Browser[475:4544] 0.003214 DisplayCell start
2019-10-03 18:53:01.218800+0900 Browser[475:4544] 0.003624 DisplayCell end
2019-10-03 18:53:01.218841+0900 Browser[475:4544] 0.003670 DisplayCell start
2019-10-03 18:53:01.219121+0900 Browser[475:4544] 0.003947 DisplayCell end
2019-10-03 18:53:01.219201+0900 Browser[475:4544] 0.004018 DisplayCell start
2019-10-03 18:53:01.219778+0900 Browser[475:4544] 0.004590 DisplayCell end
2019-10-03 18:53:01.219848+0900 Browser[475:4544] 0.004672 DisplayCell start
2019-10-03 18:53:01.220801+0900 Browser[475:4544] 0.005548 DisplayCell end
2019-10-03 18:53:01.220948+0900 Browser[475:4544] 0.005759 DisplayCell start
2019-10-03 18:53:01.221452+0900 Browser[475:4544] 0.006269 DisplayCell end
2019-10-03 18:53:01.221508+0900 Browser[475:4544] 0.006336 DisplayCell start
2019-10-03 18:53:01.221885+0900 Browser[475:4544] 0.006708 DisplayCell end
2019-10-03 18:53:01.221925+0900 Browser[475:4544] 0.006754 DisplayCell start
2019-10-03 18:53:01.222239+0900 Browser[475:4544] 0.007064 DisplayCell end
2019-10-03 18:53:01.222275+0900 Browser[475:4544] 0.007104 DisplayCell start
2019-10-03 18:53:01.222580+0900 Browser[475:4544] 0.007407 DisplayCell end
2019-10-03 18:53:01.222615+0900 Browser[475:4544] 0.007444 DisplayCell start
2019-10-03 18:53:01.222922+0900 Browser[475:4544] 0.007748 DisplayCell end
2019-10-03 18:53:01.222956+0900 Browser[475:4544] 0.007786 DisplayCell start
2019-10-03 18:53:01.223259+0900 Browser[475:4544] 0.008086 DisplayCell end
2019-10-03 18:53:01.223293+0900 Browser[475:4544] 0.008123 DisplayCell start
2019-10-03 18:53:01.223595+0900 Browser[475:4544] 0.008421 DisplayCell end
2019-10-03 18:53:01.223628+0900 Browser[475:4544] 0.008457 DisplayCell start
2019-10-03 18:53:01.223934+0900 Browser[475:4544] 0.008761 DisplayCell end
2019-10-03 18:53:01.223966+0900 Browser[475:4544] 0.008796 DisplayCell start
2019-10-03 18:53:01.224254+0900 Browser[475:4544] 0.009081 DisplayCell end
2019-10-03 18:53:01.224287+0900 Browser[475:4544] 0.009117 DisplayCell start
2019-10-03 18:53:01.224568+0900 Browser[475:4544] 0.009395 DisplayCell end
2019-10-03 18:53:01.224600+0900 Browser[475:4544] 0.009430 DisplayCell start
2019-10-03 18:53:01.224900+0900 Browser[475:4544] 0.009727 DisplayCell end
2019-10-03 18:53:01.224931+0900 Browser[475:4544] 0.009761 DisplayCell start
2019-10-03 18:53:01.225214+0900 Browser[475:4544] 0.010041 DisplayCell end
2019-10-03 18:53:01.225247+0900 Browser[475:4544] 0.010077 DisplayCell start
2019-10-03 18:53:01.225531+0900 Browser[475:4544] 0.010359 DisplayCell end
2019-10-03 18:53:01.350762+0900 Browser[475:4544] 0.135582 DisplayCell start
2019-10-03 18:53:01.351223+0900 Browser[475:4544] 0.136044 DisplayCell end
2019-10-03 18:53:01.351791+0900 Browser[475:4544] 0.136613 DisplayCell start
2019-10-03 18:53:01.352132+0900 Browser[475:4544] 0.136958 DisplayCell end
2019-10-03 18:53:01.352694+0900 Browser[475:4544] 0.137512 DisplayCell start
2019-10-03 18:53:01.353071+0900 Browser[475:4544] 0.137895 DisplayCell end
2019-10-03 18:53:01.353575+0900 Browser[475:4544] 0.138397 DisplayCell start
2019-10-03 18:53:01.353932+0900 Browser[475:4544] 0.138756 DisplayCell end
2019-10-03 18:53:01.354371+0900 Browser[475:4544] 0.139194 DisplayCell start
2019-10-03 18:53:01.354728+0900 Browser[475:4544] 0.139552 DisplayCell end
2019-10-03 18:53:01.355164+0900 Browser[475:4544] 0.139987 DisplayCell start
2019-10-03 18:53:01.355511+0900 Browser[475:4544] 0.140335 DisplayCell end
2019-10-03 18:53:01.355968+0900 Browser[475:4544] 0.140791 DisplayCell start
2019-10-03 18:53:01.356432+0900 Browser[475:4544] 0.141250 DisplayCell end
2019-10-03 18:53:01.356937+0900 Browser[475:4544] 0.141760 DisplayCell start
2019-10-03 18:53:01.357342+0900 Browser[475:4544] 0.142164 DisplayCell end
2019-10-03 18:53:01.357790+0900 Browser[475:4544] 0.142614 DisplayCell start
2019-10-03 18:53:01.358155+0900 Browser[475:4544] 0.142980 DisplayCell end
2019-10-03 18:53:01.358603+0900 Browser[475:4544] 0.143426 DisplayCell start
2019-10-03 18:53:01.358969+0900 Browser[475:4544] 0.143792 DisplayCell end
2019-10-03 18:53:01.359393+0900 Browser[475:4544] 0.144217 DisplayCell start
2019-10-03 18:53:01.359751+0900 Browser[475:4544] 0.144576 DisplayCell end
2019-10-03 18:53:01.360161+0900 Browser[475:4544] 0.144984 DisplayCell start
2019-10-03 18:53:01.360537+0900 Browser[475:4544] 0.145361 DisplayCell end
2019-10-03 18:53:01.360961+0900 Browser[475:4544] 0.145785 DisplayCell start
2019-10-03 18:53:01.361340+0900 Browser[475:4544] 0.146165 DisplayCell end
2019-10-03 18:53:01.361791+0900 Browser[475:4544] 0.146612 DisplayCell start
2019-10-03 18:53:01.362239+0900 Browser[475:4544] 0.147059 DisplayCell end
2019-10-03 18:53:01.362906+0900 Browser[475:4544] 0.147724 DisplayCell start
2019-10-03 18:53:01.363536+0900 Browser[475:4544] 0.148315 DisplayCell end
2019-10-03 18:53:01.365339+0900 Browser[475:4544] 0.150157 DisplayCell start
